,year,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,n_teams,pos,goals,goals_permatch
6,1957,Motherwell,34.0,9,2,6.0,41.0,32.0,7.0,3.0,7.0,31.0,34.0,37.0,18,7,72.0,2.1176470588235294
7,1957,Partick Thistle,34.0,11,3,3.0,37.0,18.0,2.0,5.0,10.0,16.0,33.0,34.0,18,8,53.0,1.5588235294117647
8,1957,Hibernian,34.0,6,8,3.0,38.0,20.0,6.0,1.0,10.0,31.0,36.0,33.0,18,9,69.0,2.0294117647058822
9,1957,Dundee,34.0,10,2,5.0,38.0,23.0,3.0,4.0,10.0,17.0,38.0,32.0,18,10,55.0,1.6176470588235294
10,1957,Airdrieonians,34.0,8,2,7.0,45.0,40.0,5.0,2.0,10.0,32.0,49.0,30.0,18,11,77.0,2.264705882352941
11,1957,St. Mirren,34.0,8,3,6.0,37.0,25.0,4.0,3.0,10.0,21.0,47.0,30.0,18,12,58.0,1.7058823529411764
12,1957,Queen'S Park,34.0,9,2,6.0,33.0,19.0,2.0,5.0,10.0,22.0,40.0,29.0,18,13,55.0,1.6176470588235294
13,1957,Falkirk,34.0,5,2,10.0,28.0,35.0,5.0,6.0,6.0,23.0,35.0,28.0,18,14,51.0,1.5
14,1957,East Fife,34.0,7,3,7.0,33.0,34.0,3.0,3.0,11.0,26.0,48.0,26.0,18,15,59.0,1.7352941176470589
15,1957,Queen Of The South,34.0,8,3,6.0,36.0,37.0,2.0,2.0,13.0,18.0,59.0,25.0,18,16,54.0,1.588235294117647
16,1957,Dunfermline Athletic,34.0,6,3,8.0,31.0,36.0,3.0,3.0,11.0,23.0,38.0,24.0,18,17,54.0,1.588235294117647
17,1957,Ayr United,34.0,5,2,10.0,27.0,35.0,2.0,3.0,12.0,21.0,54.0,19.0,18,18,48.0,1.411764705882353
0,1958,Hearts,34.0,15,2,0.0,79.0,17.0,14.0,2.0,1.0,53.0,12.0,62.0,18,1,132.0,3.8823529411764706
